"행정구역별(시군구)","세대구성별",2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023
"행정구역별(시군구)","세대구성별",일반가구 (가구),가구원수 1명 (가구),가구원수 2명 (가구),가구원수 3명 (가구),가구원수 4명 (가구),가구원수 5명 (가구),가구원수 6명 (가구),가구원수 7명 이상 (가구),평균 가구원수 (명),일반가구 (가구),가구원수 1명 (가구),가구원수 2명 (가구),가구원수 3명 (가구),가구원수 4명 (가구),가구원수 5명 (가구),가구원수 6명 (가구),가구원수 7명 이상 (가구),평균 가구원수 (명),일반가구 (가구),가구원수 1명 (가구),가구원수 2명 (가구),가구원수 3명 (가구),가구원수 4명 (가구),가구원수 5명 (가구),가구원수 6명 (가구),가구원수 7명 이상 (가구),평균 가구원수 (명)
"서울특별시","계",4046799,1489893,1056278,779155,573191,119907,23017,5358,2.2,4098818,1564187,1076409,776479,544807,111012,21153,4771,2.2,4141659,1627480,1080790,774023,528911,106119,19901,4435,2.2
"서울특별시","1세대 가구",680825,X,661513,18250,949,102,9,X,2.0,689093,X,669956,18103,921,97,15,X,2.0,685396,X,666295,18050,944,96,9,X,2.0
"서울특별시","2세대 가구",1644223,X,306667,735068,521413,73515,6519,1041,3.2,1611980,X,309899,732726,494342,67987,6089,937,3.2,1593557,X,312050,730400,479297,65125,5798,887,3.2
"서울특별시","3세대 가구",131646,X,X,17492,48511,45238,16286,4119,4.6,125014,X,X,17313,47219,41926,14868,3688,4.5,121065,X,X,17361,46428,39936,13927,3413,4.5
"서울특별시","4세대 이상 가구",657,X,X,X,53,205,203,196,5.9,593,X,X,X,62,205,181,145,5.8,550,X,X,X,63,187,167,133,5.8
"서울특별시","1인 가구",1489893,1489893,X,X,X,X,X,X,1.0,1564187,1564187,X,X,X,X,X,X,1.0,1627480,1627480,X,X,X,X,X,X,1.0
"대전광역시","계",640085,240932,170037,115093,89199,20470,3519,835,2.2,646474,249006,175151,115255,84474,18688,3188,712,2.2,654809,257934,178503,115343,81618,17839,2911,661,2.1
"대전광역시","1세대 가구",112285,X,109956,2189,135,X,X,X,2.0,115465,X,113184,2145,125,9,X,X,2.0,118133,X,115806,2189,128,9,X,X,2.0
"대전광역시","2세대 가구",256154,X,48230,109418,82280,14599,1381,246,3.3,251038,X,48907,109569,77651,13381,1311,219,3.2,247567,X,48784,109699,74867,12770,1232,215,3.2
"대전광역시","3세대 가구",17391,X,X,2475,6503,5737,2108,568,4.5,16401,X,X,2485,6418,5182,1844,472,4.5,15810,X,X,2427,6351,4951,1651,430,4.5
"대전광역시","4세대 이상 가구",86,X,X,X,11,26,29,20,5.8,85,X,X,X,9,24,32,20,5.8,77,X,X,X,9,25,27,16,5.7
"대전광역시","1인 가구",240932,240932,X,X,X,X,X,X,1.0,249006,249006,X,X,X,X,X,X,1.0,257934,257934,X,X,X,X,X,X,1.0
"울산광역시","계",451432,133061,127915,97807,75839,14212,2154,444,2.4,453998,137096,132727,97651,71151,12978,1998,397,2.3,458129,141595,136485,97334,68036,12445,1858,376,2.3
"울산광역시","1세대 가구",90481,X,89063,1330,77,10,X,X,2.0,94083,X,92607,1393,68,13,X,X,2.0,97110,X,95529,1496,78,7,X,X,2.0
"울산광역시","2세대 가구",208383,X,32618,94272,70685,9984,716,108,3.3,203173,X,33165,94015,66099,9136,659,99,3.3,199703,X,33374,93541,63296,8772,626,94,3.2
"울산광역시","3세대 가구",12593,X,X,1751,4957,4146,1417,322,4.5,11941,X,X,1739,4838,3763,1322,279,4.5,11418,X,X,1800,4533,3600,1215,270,4.4
"울산광역시","4세대 이상 가구",69,X,X,X,9,26,20,14,5.7,63,X,X,X,7,22,15,19,5.9,53,X,X,X,6,18,17,12,5.8
"울산광역시","1인 가구",133061,133061,X,X,X,X,X,X,1.0,137096,137096,X,X,X,X,X,X,1.0,141595,141595,X,X,X,X,X,X,1.0
